action_debug,action_duty_ref,action_v_ref,dt,g,i,p,t,t_mod,v
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.03900000000000003,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.04000000000000003,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.04100000000000003,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.04200000000000003,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.04300000000000003,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.04400000000000003,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.04500000000000003,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.046000000000000034,25.0,17.996
"{'algo': 'ruca', 'p': 105.04351380317023, 'v_ref': 17.996, 'v_cmd': 17.996, 'branch': 'V', 'cold_start': False, 'dV': -0.004000000000001336, 'dI': 4.4883617889013294e-07, 'dP': -0.02334530509254762, 'sgn': 1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.996,0.001,1000.0,5.838345587103726,105.04351380317023,0.047000000000000035,25.0,17.991999999999997
"{'algo': 'ruca', 'p': 105.06685910826278, 'v_ref': 17.991999999999997, 'v_cmd': 17.991999999999997, 'branch': 'I', 'cold_start': False, 'dV': 0.004000000000001336, 'dI': -4.4883617889013294e-07, 'dP': 0.02334530509254762, 'sgn': -1.0, 'step': 0.004, 'state': 'NORMAL'}",,17.991999999999997,0.001,1000.0,5.838345138267547,105.06685910826278,0.048000000000000036,25.0,17.996
